idx,pred,ref,prompt_tokens,gen_tokens,latency_sec,tok_per_sec,P,R,F1
0,"Тот, кто уплачивает налог.","Налогоплательщик — это физическое или юридическое лицо, а также их структурные подразделения, на которых в соответствии с Налоговым кодексом возложена обязанность по уплате налогов и иных обязательных платежей в бюджет.",28,11,3.792534169740975,2.900435304647838,0.73121613,0.6213124,0.67179894
1,"Далее следует указание размера обязательного налогового взноса. При этом не учитывается сумма, полученная в качестве дивидендов. К таким доходам относятся прибыль и пассивы, а также доход от продажи акций или принадлежности.","Налоговое обязательство включает в себя обязанности налогоплательщика по исчислению, удержанию (если требуется), своевременной уплате налогов и предоставлению налоговой отчетности в установленный срок.",31,61,16.096557195764035,3.789630245656055,0.6612504,0.68302166,0.6719597
2,Налогоплательщик имеет право обжаловать налоговое решение в арбитражном суде. Права и обязанности налогоплательщика:,"Налогоплательщик имеет право получать разъяснения налогового законодательства, защищать свои интересы, обжаловать действия налоговых органов, получать информацию о своих налоговых обязательствах и использовать налоговые льготы.",30,37,9.774207124952229,3.7854732897509416,0.79810685,0.7490121,0.77278054
3,Налогоплательщик обязан предоставить налоговому органу необходимые документы. Также он обязан выслать платежную информацию. Контроль осуществляется в соответствии с законодательством.,"Налогоплательщик обязан своевременно и в полном объеме уплачивать налоги, предоставлять налоговую отчетность, хранить документы, подтверждающие исполнение налогового обязательства, и соблюдать требования законодательства.",35,44,11.677039007190617,3.768078531972463,0.77456343,0.73811954,0.7559025
4,"Налог на прибыль, НДС.","Налоговым кодексом установлены налоги на доходы, налоги на имущество, налоги на потребление (например, НДС и акцизы), налоги на использование ресурсов (например, налог на землю) и специальные виды налогов.",39,10,2.9355385759845376,3.406529923268388,0.76545286,0.66307616,0.710596
5,"КПН — сумма налога, которая исчисляется на прибыль компании. Налог уменьшает вычеты по налоговым освобождениям.","Корпоративный подоходный налог — это налог, взимаемый с доходов юридических лиц, резидентов Республики Казахстан, а также нерезидентов, осуществляющих деятельность через постоянное учреждение в стране.",35,38,10.039405305869876,3.785084757737793,0.7004844,0.65292066,0.6758668
6,Возможность оплачивать налог за счет поступлений в бюджет. При этом налоговый режим не применяется к доходам от деятельности предприятия и налогооблагаемых организациях.,"Специальный налоговый режим — это установленная Кодексом упрощённая система налогообложения и отчетности для отдельных категорий налогоплательщиков, направленная на снижение административной нагрузки.",29,42,11.106107897590846,3.7817028600190983,0.71105933,0.7022979,0.70665145
7,"Только в том случае, если не были применены исключения. Вам нужно уплатить налог и подать декларацию.","Налоговая ответственность наступает в случае неуплаты налогов, несвоевременного предоставления налоговой отчетности, сокрытия доходов, неправомерного применения льгот или занижения налоговой базы.",31,31,8.23802849277854,3.763036268589581,0.6670004,0.649438,0.6581021
8,"На налоговое правонарушение выставляется штраф, начисляются проценты и возможна установка ареста на активы. Ассистент обязан будет подать уведомление об этом в налоговый орган.","В случае неуплаты налогов в срок образуется недоимка, на которую начисляется пеня. При дальнейшем уклонении возможно принудительное взыскание задолженности через меры обеспечения исполнения налогового обязательства.",32,53,14.068513596896082,3.767277874451024,0.7263269,0.7138857,0.7200526
9,"Недоимка по налогам — это сумма, которая не уплачена за определённый период. Если неуплаченные налоги начислены с убытков, а потом они отменены или возмещены, то наложенная сумма считается недоимкой.","Недоимка по налогам — это сумма налогов и обязательных платежей в бюджет, которая не была уплачена налогоплательщиком в установленный законодательством срок.",30,65,17.151585299056023,3.789737150628136,0.7679468,0.7722764,0.77010554
